17,195
17,765
17,955
18,3
19,095
20,045
20,045
20,235
20,52
21,66
21,7
21,755
21,8
21,85
21,85
22,22
22,42
22,6
22,61
22,88
22,99
23,37
23,655
23,655
23,655
23,845
24,13
24,42
24,6
24,7
24,75
24,89
25,27
25,3
25,555
25,85
26,125
26,29
26,4
26,6
26,7
26,84
26,885
26,885
26,98
27,28
27,6
27,645
27,74
27,83
27,9
27,94
28,025
28,12
28,3
28,31
28,31
28,38
28,49
28,88
29,07
29,81
29,92
30,02
30,2
30,21
30,4
30,495
30,78
31,02
31,16
31,3
31,4
31,4
31,92
32,2
32,45
32,49
32,56
32,775
32,78
33,11
33,11
33,5
33,8
34,105
34,6
34,7
34,8
34,96
35,2
35,53
35,53
36,08
36,385
36,63
36,67
36,765
36,85
36,86
37,05
37,7
38,06
38,06
38,095
38,39
38,95
39,05
40,37
42,24
42,75
43,89
46,2
47,41
47,6
